Id	Name	Kind	Censored_Desc
5852	הגנים הבהאים - חיפה	פארקים וגנים	"מכלול מצונזר ומבנים שהוא המרכז העולמי והמפואר ביותר של בני הדת הבהאית , דת הדוגלת בשוויון ובסובלנות . מצונזר ניצבים היכל הבהאים ( כיפת הזהב ) , קברם של מנהיגי הבהאים , גינזך הבהאים ו""בית הצדק העולמי "" של בני הדת הבהאית . כל אלה נמצאים בתוך מצונזר שהאסתטיקה , מוטיב מרכזי באמונה הבהאית , נותנת בהם את אותותיה מכל עבר . 
 "
5855	הפארק הלאומי רמת גן	פארקים וגנים	""" מצונזר מצונזר "" של רמת מצונזר הוא למעשה מצונזר העירוני הגדול הראשון בישראל לאחר קום המדינה , והוקם ביוזמתו של ראש העירייה המיתולוגי אברהם קריניצי ז""ל ובתמיכת ראש הממשלה דוד בן - גוריון . מצונזר עבר שינויים רבים לאורך השנים , מאז נחנך בשנת 1953 , והשינוי העיקרי היה צמצום שטחו בשנות ה- 70 ' והקמת הספארי בחלק מאדמות מצונזר . גם כיום משמש מצונזר מוקד נופש ופנאי מרכזי לתושבי גוש דן בכלל ולתושבי רמת מצונזר בפרט . מסלול הטיול מפגיש את המבקרים עם כל פינות העניין הבולטות מצונזר , ומומלץ לביצוע כל השנה למעט בימים בהם צפוי עומס מבקרים חריג כדוגמת יום העצמאות וחול המועד פסח . 
 קרדיט לתמונה : מלי קוך . מתוך מצונזר פיקיוויקי .  
 "
5889	הגן הבוטני של האוניברסיטה העברית בהר הצופים	פארקים וגנים	"מצונזר הבוטני בהר הצופים , הוא מצונזר אקולוגי , אשר גדלים בו צמחים המייצגים את אזורי הצומח השונים של הארץ . מצונזר משמש לתצוגה לצמחי הארץ וסביבתה , למחקר ולימוד ומקום מקלט לצמחים נדירים ובסכנת הכחדה .   בתחומי מצונזר נמצא ארון קבורה של ניקנור מאלכסנדריה שתרם דלתות נחושת לבית המקדש . 
 "
5902	פארק קומראן	ארכיאולוגיה והיסטוריה	"שרידי היישוב היהודי קומראן , המשקיף על ים המלח , הוא מצונזר שבקרבתו התגלו מגילות ים המלח , שהן הספרים המקראיים הקדומים ביותר שנמצאו אי - פעם . 
 חדר האוכל , מקווה הטהרה וממצאים אחרים מזכירים את האיסיים , שחיפשו טוהר במדבר . 
 במרכז המבקרים המעוצב בצורת המבנים העתיקים של קומראן , מוצג סרט מרגש המקשר בין הנוף לתושביו . 
 המראה הדרמטי של המערה שבה נמצאו רוב מגילות ים המלח מעורר במבקר רצון לראות את המגילות בהיכל הספר שבמוזיאון ישראל בירושלים . 
 קרדיט לתמונה : אבישי טייכר . מאתר פיקיוויקי . 
 "
5919	גן לאומי אפולוניה	ארכיאולוגיה והיסטוריה	"מצונזר מצונזר אפולוניה , הנמצא במישור מצונזר , צפונית להרצליה פיתוח , נמצאים שרידים מרשימים ביותר של מבצר צלבני מהמאה ה-13 המתנשא בראש מצוק . מצונזר עוברים שני מסלולי סיור קצרים . האחד צמוד לתוואי המצוק ומתאים למיטיבי לכת . האחר הוא שביל מישורי המתאים לכיסאות גלגלים ולהולכי רגל . מנקודת התצפית נשקף נוף מרהיב של מצונזר וממנה אפשר גם לראות וילה רומאית . בחודשי הקיץ , יולי ואוגוסט , מתקיימים באפולוניה קונצרטים לעת שקיעה ליד המבצר . 
 קרדיט לתמונה : לילך אלעטאר , יובל מנדלסון מתוך פיקיוויקי 
 שימו לב!בעקבות משבר הקורונה קיימת הגבלה של מספר המבקרים באתרי רט""ג ונדרש רישום מראש . לינק להרשמה ."
5946	גן הלאומי מבצר יחיעם	ארכיאולוגיה והיסטוריה	"מבצר יחיעם הוקם ככל הנראה כחלק מנחלה צלבנית , ונחרב בידי הסולטן הממלוכי בייברס בשנת 1265 . 
 רוב השרידים , כולל חומות , מגדלים וחפיר , הם שרידי מבנים מהמאה ה-18 שבנה השייח ' הבדווי דיאהר אל עמר . 
 הם משמשים כרקע רומנטי לפסטיבל הרנסנס המתקיים מדי שנה בסוכות במבצר יחיעם . 
 נופי הגליל המערבי נפרשים מראש המצודה , ששימשה כביתם הראשון של ראשוני המתיישבים שהקימו את קיבוץ יחיעם בשנת 1946 . 
 קרדיט לתמונה : אבישי טייכר . מתוך מצונזר פיקיוויקי . 
 "
5951	גן לאומי ממשית	ארכיאולוגיה והיסטוריה	"הנבטים הנוודים הקימו את ממשית כתחנה דרכים לשיירות שעברו בדרך הבשמים שבה הובילו מור ולבונה מחצי האי ערב לשווקים דרך הים התיכון . 
 האתרים הבולטים בממשית , הכלולה ברשימת אתרי המורשת הלאומית של ארגון אונסקו , הם מגדל שמירה תלת - קומתי שממנו נשקף נוף מרהיב של המדבר ושתי כנסיות עם רצפות פסיפס . 
 בעיר תוכלו גם לראות בית מגורים הבנוי בסגנון נבטי אופייני , כולל אורווה ל-16 סוסים ( שגידולם היה מרכיב חשוב של כלכלת ממשית ) . 
 בחגים מסוימים , מתקיים מצונזר שוק רחוב ססגוני , שבו תוכלו להתבשם מהמראות , מהצלילים ומהריחות של זמנים עברו . בחאן הנבטי שבגן יש חניון לילה לקמפינג . 
 קרדיט לתמונה : כפיר בן שמחון . מאתר פיקיוויקי . 
 "
5953	גן לאומי מעיין חרוד	פארקים וגנים	"מצונזר מצונזר מעיין חרוד מעיין חרוד מגיח מתוך מערה בצלע הר הגלבוע , מצונזר עצמו ישנה גם בריכת שחייה גדולה . 
 מצונזר השוכן למרגלות הרי הגלבוע , נזכר במקרא כמקום שבו בחר הנביא גדעון את החיילים שיצאו אתו ללחום במדיינים . 
 על המדרון שמעל המעיין שוכן מצונזר חנקין , שממנו נשקף מלוא העין נופו של עמק יזרעאל . 
 הבית , היה ביתו של יהושע חנקין , שרכש אדמות בעמק בראשית ימי הציונות . חנקין ורעייתו אולגה קבורים בסמוך לבית . 
 קרדיט לתמונה : ענת חן . מאתר פיקיוויקי .  
  שימו לב!בעקבות משבר הקורונה קיימת הגבלה של מספר המבקרים באתרי רט""ג ונדרש רישום מראש . לינק להרשמה ."
5978	גן לאומי עין חמד	פארקים וגנים	"מצונזר מצונזר עין חמד מציע למבקרים סיור רגלי קצר וקל . 
 השם העברי עין חמד , נגזר מהשם הלטיני אַקְוָוה בֶּלָה – מים יפים , שנתנו למקום התושבים שהתגוררו כאן בימי הביניים . 
 תוכלו לסייר כאן בבית חווה משפחתי מבוצר בנוי אבן מימי הצלבנים , שנמצא בו גת לכבישת שמן זית . 
 מתחת לעצים הגבוהים והעבותים המצלים על מצונזר יש מתקני משחקים , מתקנים לגריל ושולחנות פיקניק . 
 "
5995	הגן הלאומי תל ערד	ארכיאולוגיה והיסטוריה	"מצונזר מצונזר תל ערד הרחובות , הכיכרות ומבני המגורים המתוכננים בקפידה של חלקה התחתון של עיר מקראית חשובה זו , היו מוקפים בחומה חזקה באורך של 1,200 מטר . לעיר היה אפילו מאגר מים שמי הגשמים זרמו אליו . אחד המבנים המרשימים בתל ערד הוא המקדש הישראלי שהתגלה בעיר העליונה , שהיה , כך סבורים החוקרים , העתק מוקטן של מקדש שלמה בירושלים . העיר התחתונה הייתה מיושבת בתקופת הברונזה ( התקופה הכנענית ) הקדומה בלבד ( 3150 עד 2200 לפנה""ס ) והעיר העליונה יושבה לראשונה בתקופה הישראלית הראשונה ( 1200 לפנה""ס ) . 
 קרדיט לתמונה : ציפי כהן .  
 "
6027	הכנסייה הרוסית אורתודוקסית – מגרש הרוסים	מקומות קדושים	"כנסייה האורתודוקסית הרוסית היא כנסייה עצמאית , אוטוקפאלית , במסגרת הנצרות האורתודוקסית המזרחית . הכנסייה הרוסית מונהגת על ידי פטריארך מוסקבה וכל רוּס , תפקיד הממולא מאז 2009 על ידי קיריל הראשון . משתייכים לה כ-145 מיליון מאמינים ברחבי העולם , כולל רובם המוחלט של הנוצרים ברחבי ברית המועצות - לשעבר וקהילות מהגרים שיצאו משטחיה . השם "" פרבוסלבי "" הוא תרגום מילולי של "" אורתודוקסי "" ( מחזיק באמונה הישרה ) לרוסית עתיקה . 
 צלם : שאולה הייטנר . 
 "
6054	כנסיית ג'ורג' הקדוש	מקומות קדושים	"הכנסייה המרכזית של היוונים - אורתודוקסים ביפו . 
 נבנתה כנראה בסוף המאה ה-19 וניכרת במגדל הפעמונים הגבוה שלה . 
 ליד הכנסייה נמצא בית הקברות של היוונים האורתודוקסים . 
 צלם :   Sugezer . מתוך מצונזר פיקיוויקי . 
 "
6055	כנסיית גבריאל הקדוש	מקומות קדושים	"מימיו המפכים של מעיין מרים , הנמצא במתחם כנסיית גבריאל מצונזר , וקירות האבן הקרירים של המבנה מזכירים למבקרים את הכפר שישו גדל בו . מי יודע מתי התחילו נשים לבוא לבאר זו , שאינספור חבלים חרצו את שפתיה ? לפי המסורת הנוצרית , מצונזר זה , שאליו באה מרים לשאוב מים מדי יום ביומו – נגלה לה המלאך גבריאל שבישר לה שהיא הרה והיא עתידה ללדת את ישו . הכנסייה , שאת קירותיה מעטרים ציורים ססגוניים של סיפורי הברית החדשה , משמשת עדיין את הנוצרים החיים בעיר . 
 צילום : אבישי טייכר מתוך פיקיווויקי 
 "
6079	כנסיית המשיח	מקומות קדושים	"כנסיית המשיח , שהוקמה באמצע המאה ה-19 סמוך לשער יפו בירושלים , הייתה הכנסייה הפרוטסטנטית הראשונה במזרח התיכון . בנוסף לכנסייה , הפועלת גם כיום כבית תפילה , יש במתחם גם בית הארחה מקסים שהכנסייה מפעילה . 
 הכנסייה שנבנתה בסגנון נאו - גותי , מעוטרת בסמלים תנכיים רבים , ביניהם חלונות זכוכית צבעוניים המתארים את שבעת המינים הנזכרים בתנ""ך . 
 בכותל המזרח נקבעו לוחות עץ , המזכירים ארון קודש , ועליהם חרוטים עשרת הדיברות ותפילת האדון ( "" אבינו שבשמיים "" ) בעברית . 
 צילום : אילנה שקולניק מתוך פיקיוויקי 
 "
6082	כנסיית העלייה	מקומות קדושים	"על הר הזיתים הוקמו שלוש כנסיות בשם כנסיית העלייה , וכנסייה זו ( המשמשת כיום כמסגד ) טוענת להיותה הקדומה ביותר . 
 יסודותיה הונחו עוד בימי פוימניה בסוף המאה הרביעית , אבל , מקורו של המבנה הנוכחי , בדומה לכנסיית הקבר מצונזר , בתקופת הצלבנים . 
 "
6083	באר אברהם	ארכיאולוגיה והיסטוריה	"מרכז המבקרים מציג את סיפורו של אברהם אבינו וראשית העם היהודי , תוך מסע מרתק בצמתים המשמעותיים בחיי אברהם , המקומות , המראות והדמויות בסיפורי התנ""ך . כל זאת תוך שימוש במיצג אורקולי מתקדם וסרט בתלת מימד . מצונזר ישנה גם באר עתיקה , המסיימת את הסיור ."
6110	בית אוסישקין	מוזיאונים ותרבות	"מצונזר בית אוסישקין שבקיבוץ דן מוקדש לטבע ולנוף של אצבע הגליל , עמק החוּלה , הגולן והחרמון . היוזמה להקמתו נבעה בעקבות התכניות לייבוש החוּלה בראשית שנות ה-50 , עקב החשש שמא ייעלמו חלקים מהנוף ומעולם מצונזר והצומח של החוּלה לאחר ייבושה . מצונזר הוקם בידי חברי קיבוץ דן בראשותו של אלימלך הורביץ , והמימון להקמתו הושג בעזרת קרן קיימת לישראל כמפעל הנצחה לזכרו של מנחם אוסישקין , שעמד בראש קק""ל בשנים . 
 כאן ממתינים לכם אוספים ותצוגות ממגוון בתי הגידול והנופים של אזורי צפון הארץ , הגולן והחרמון , ותערוכה מיוחדת המוקדשת לחיי האדם באזור בתקופת המקרא , שהוכנה על סמך ממצאים שנחשפו בחפירות הארכיאולוגיות שנערכו בתל דן הסמוך . נוסף על כך מוצג מופע אורקולי ( בכמה שפות ) על מצונזר האזור ונערכות פעילויות מיוחדות לקבוצות . מצונזר אולם כנסים ( עד 150 איש ) ."
6123	כנסיית יוסף הקדוש	מקומות קדושים	"כנסייה זו , המציינת את מצונזר שבו התגוררו לפי המסורת יוסף ומרים , נבנתה בשנת 1914 על שרידיה של כנסייה קדומה . 
 היא נמצאת כיום בתוך מתחם כנסיית הבשורה בנצרת . מתחת לכנסייה נמצאות מערות , שבימיו של ישו שימשו כנראה לאחסון תבואה , יין ושמן . 
 מצונזר יש גם אגן טבילה עתיק עם שבע מדרגות , מעוטר בפסיפס המתאר צורה דמוית סולם , וייתכן שהוא מצביע על התרוממותם הרוחנית של העולים מן המים . 
 צלם:(Hanay   ( http://creativecommons.org/licenses/by-sa/3.0 . באמצעות ויקישיותוף . 
 "
6130	כנסיית סנט פטרוס אין גָליקַנטוּ	מקומות קדושים	"כנסייה זו , הנמצאת במורדות הר ציון , מוחזקת על ידי נזירים קאתוליים מצרפת השייכים למסדר האסמפסיוניסטים . היא הוקמה ב-1931 אבל הרבה לפניה נבנו כאן כנסייה ביזנטית וכנסייה צלבנית , כולן הוקמו כדי להנציח אירוע חשוב בחיי ישוע ותלמידיו . על פי המסורת הנוצרית הכנסייה עומדת מצונזר בו היה לפני 2000 שנה , בימי בית שני , בית הכוהן הגדול ( לא טעיתם - הכוהן היהודי ) . 
 צלם : Simply rose . מתוך מצונזר פיקוויקי .  
 "
6160	גן לאומי קבר דוד בן גוריון	ארכיאולוגיה והיסטוריה	"דוד בן גוריון ( 1886 – 1973 ) , ראש הממשלה הראשון של מדינת ישראל , חלם על יישוב הנגב והפרחת המדבר . בן גוריון נאה דרש ונאה קיים , ואחרי פרישתו עבר להתגורר בנגב והתקבל כחבר בקיבוץ שדה בוקר , שם היה לרועה צאן . מדינת ישראל כיבדה את בקשתו של בן גוריון להיקבר בנגב שכה אהב , ולא בירושלים כמו מנהיגיה האחרים של המדינה . מאחוזת הקבר של דוד ופולה בן גוריון , המוקפת מצונזר נוי מטופח ובו צמחייה מקומית המתאימה לתנאי היובש והמליחות של המדבר , נשקף נופו עוצר הנשימה של נחל צין . 
 קרדיט לתמונה :   דרור פייטלסון .  
 "
6172	בית ג'ימאל	ארכיאולוגיה והיסטוריה	"המסורת הנוצרית מזהה כאן את כפר גמלה , מצונזר אחוזתו של רבן גמליאל הראשון , שהיה לפי הברית החדשה מורהו של פאולוס . 
 מצונזר שני מנזרים ובהם כנסיות , תערוכת תמונות ודגם המתאר אירועים מהמקרא ומהברית החדשה . 
 מצונזר חנות לממכר יין ושמן זית , כמו גם   לחפצי קרמיקה . 
 צלם : מתוך מצונזר פיקיוויקי . 
 "
6193	בית המאירי	מוזיאונים ותרבות	"בשיפולי הרובע היהודי העתיק של צפת ניצב בית אבן היסטורי בן שלוש קומות , בכל קומה בו מתפתלים מבוכים ומעברים משונים . 
 המבנה המרתק טומן בחובו את סיפור חייהם של היהודים בצפת ב-200 השנים האחרונות . 
 עולמה של הקהילה היהודית המקומית , על פלגיה ועדותיה , מועבר באמצעות חפצי לבוש וריהוט , כלי בית , מלאכה וקודש , וכל זה מעשה ידיו של איש אחד – יחזקאל המאירי , שהקים בעירו האהובה מצונזר ייחודי המוקדש לצפת ולאנשיה . 
 המבנה – על תשעת חללי התצוגה שלו – הוא אחד השרידים היחידים מהגרעין העתיק של צפת , וקומותיו ומפלסיו נבנו בתקופות שונות . בקומה התחתונה שרדו מהמאה ה-16 מבני מגורים ומקווה טוהרה שעץ תאנה פרץ וצמח מבין כתליו . בלב הבית שני אולמות גדולים ששימשו באמצע המאה ה-19 את בית הדין הרבני הספרדי . מעל האולמות שוכן מבנה בית הספר לבנים שהוקם בסוף אותה מאה . בין החצרות והכוכים יש בורות מים חצובים ודליות גפן עתיקות . 
 למבקרים מוצעות תכניות מגוונות בשעות גמישות , בתיאום מראש . 
 אפשר להזמין סיורים ברובע העתיק ולערוך אירועים משפחתיים . 
 ליחידים ניתנת הדרכה קצרה לקראת סיור עצמי מצונזר . 
 לילדים : אפשר לרכוש חוברת הפעלה לחוקרים הצעירים שתלווה את הילדים בין חדרי מצונזר . 
  
 "
6258	אמת הביאר (בארות)	ארכיאולוגיה והיסטוריה	"מפעל מים תת קרקעי מהתקופה הרומית , שהוביל מים אל בריכות שלמה ומשם לירושלים . אל המעיין אפשר לרדת דרך ניקבה שבה מדרגות חצובות ולצאת מפירים אנכיים סמוך לבריכות שלמה . 
    Utilisateur : Djampa -   http://www.gnu.org/copyleft/fdl.html , באמצעות ויקישיתוף 
 "
6273	ארבעת בתי הכנסת הספרדיים	מקומות קדושים	"בלב הרובע היהודי בירושלים שוקמו ארבעה בתי כנסת ספרדיים . 
 בתי הכנסת האלה נבנו בתקופת השלטון המוסלמי , בימים שבהם נדרשו בתי הכנסת לשמור על פרופיל נמוך , וזו הסיבה שמן הרחוב המתחם אינו נראה כבית כנסת וכדי להגיע אליו יש לרדת בגרם מדרגות . 
 בבית הכנסת המרכזי , המפואר מבין הארבעה וקרוי על שם רבי יוחנן בן זכאי , נהגו לקיים בעבר את טקס הכתרת הרב הספרדי הראשי . 
 בתי הכנסת שוחזרו אחרי איחוד ירושלים בשנת 1967 , והעניקו מצונזר חדשים לתשמישי קדושה שהיו שייכים לקהילות יהודיות באיטליה שהושמדו בשואה . 
 "
6346	שמורת טבע חי-בר יטבתה	טבע ובעלי חיים	"שמורת מצונזר - בר יטבתה , של רשות מצונזר והגנים , נמצאת במרחק 30 דקות נסיעה מאילת . כשנוסעים בשמורה רואים מיני מצונזר - מצונזר שנזכרו במקרא ונכחדו מנופי הארץ , שהובאו לכאן במטרה לגדלם ולטפחם עד שיהיה אפשר להשיבם לטבע – יענים , ראמים , פראים ( חמורי בר אסיאתיים ) , דישונים ועוד . תוכלו לשכור תקליטור ולהאזין תוך כדי נסיעה , להסברים על מצונזר החיים . הסיור מסתיים בביקור בחדר החושך שמוצגים בו בעיקר מכרסמים פעילי לילה ובמרכז הטורפים , שם מוחזקים נמרים , שועלים , קרקלים ונחשים . 
 קרדיט לתמונה : מצונזר פיקיוויקי . 
 "
6393	יד לשריון	מוזיאונים ותרבות	"מצונזר ההנצחה של חיל השריון נמצא במבנה המשטרה המנדטורי של לטרון . מצונזר יש מצונזר , מפעלי הנצחה שונים ומאגרי מידע . מצונזר גם אמפיתאטרון המשמש בעיקר לטקסים צבאיים ולאומיים ומרכז ארצי למעקב אחר עופות נודדים . 
 "
6395	ים המלח	טבע ובעלי חיים	"ים המלח הוא הנקודה הנמוכה ביותר ( 417 מטר מתחת לפני הים ) וגוף המים המלוח ביותר על - פני כדור הארץ . סגולות המרפא של האוויר והמים זיכו את ים המלח בתואר ʺמרחצאות המרפא הנמוכים בעולםʺ. לאורך מצונזר המערבי תוכלו למצוא חופי רחצה , מרחצאות מרפא ובתי מלון ואכסניות מכל הסוגים , השוכנים בינות לשטחים חקלאיים , המעובדים בשיטות חקלאיות המתאימות לאזורים צחיחים . קרבתו של אזור ים המלח למדבר יהודה מאפשרת לערוך היכרות קרובה ואישית עם המדבר ברכב שטח , באופניים , בגמל ובגלישת צוקים . נסיעה קצרה תיקח אתכם לאתרים כמו עתיקות מצדה המרשימות , מערות קומראן ועין גדי ונווה המדבר עין גדי , או לגיחות לעולם הנזירות המדברית שתוכלו לראות במנזרים השוכנים בקרבת מצונזר . 
 צלם : אריה טננבאום .  
 
 "
6480	החומה הרחבה	ארכיאולוגיה והיסטוריה	"חומה זו , ששוּמָרה בקפידה בין המבנים המודרניים שנבנו ברובע היהודי בעיר העתיקה של ירושלים , מכונה כך משום שהיא שריד לאחד הביצורים הכבדים ביותר שנחשפו בירושלים . 
 זה קטע של החומה הנזכרת בתנ""ך , חומה שבנה המלך חזקיהו במאה ה-8 לפנה""ס מעל לבתי מגורים מתקופה מוקדמת יותר , במטרה להגן על גבולה הצפוני הפגיע של ירושלים מפני חילות אשור המתקרבים ."
6491	הכותל המערבי	מקומות קדושים	"הכותל המערבי הוא השריד האחרון שנותר מבית המקדש השני בירושלים , שנחרב בידי הרומאים בשנת 70 לספירה . 
 לכותל המערבי מיוחסת קדושה כקדושת בית המקדש , ובמשך מאות בשנים באים אליו יהודים להתפלל , בעתות שמחה ובעתות צער כאחד . 
 עם השנים התפתח גם מנהג של הטמנת פתקי תפילה בין אבני הכותל . 
 ליד הכותל נוהגים גם לציין רגעים חשובים בחיי האומה כולה . חלקיו האחרים של הכותל 583 מטרים ממתינים לכם במעמקי האדמה מתחת לעיר העתיקה במנהרת הכותל שבה תוכלו לערוך מסע שאין דומה לו לתוך העבר הארכיאולוגי של ירושלים . 
 צלם : כרמלה שלו . מתוך מצונזר פיקיוויקי ."
6492	הכיכר הרומית בשער שכם	ארכיאולוגיה והיסטוריה	"כיכר שבה תצוגה המראה את תולדות שער שכם , השער החשוב בעיר מימי התקופה הרומית . 
 היום ניצב מצונזר השער העותמני ומתחתיו נחשפו שרידי השער הרומי . 
 צלם : Praisethelorne . מתוך מצונזר פיקיוויקי ."
6493	הכנרת	טבע ובעלי חיים	הכינרת היא אגם המים המתוקים הגדול ביותר בישראל אטרקציה תיירותית ראשונה במעלה ומקור מים חיוני . חופי הכינרת מציעים פארקי מים , שטחי קמפינג וחדרי אירוח מסוגים שונים כולל בתי מלון בעיר טבריה שלחוף הכינרת . צפרים אוהבים את מצונזר הירדן ( הנמצא בשפך הירדן לכינרת ) שבו אפשר גם לשכור קיאקים . בצפון - מזרח הכינרת נמצאים מצונזר חשובים לנוצרים כמו כפר נחום וטבחה , ובמוזיאון שבקיבוץ גינוסר השוכן לחוף הכינרת מוצגת הסירה הגלילית הקדומה המיוחסת לתקופתו של ישו .
6498	שמורת טבע המכתש הגדול	טבע ובעלי חיים	"המכתש הגדול , מכתש חתירה , הוא אחד מסדרת מכתשים שנוצרו באזור הר הנגב כחלק מתופעה גיאולוגית נדירה . 
 בתוך המכתש ישנם יער מאובנים וחניון שלידו חולות צבעוניים שאפשר לאסוף בבקבוק . 
 קרדיט לתמונות :   מצונזר כחמון , ראובן שמעיה , מתוך מצונזר פיקיוויקי ."
6507	מדרחוב בן יהודה	ארכיאולוגיה והיסטוריה	"מדרחוב בן יהודה הוא תמצית העיר הירושלמית המורכבת . 
 שיטוט קצר בו יוביל אל בוטיקים קטנים לצד חנויות קצת יותר מוכרות , אל בתי קפה ומסעדות בהם אפשר לפגוש אלו לצד אלו חילונים ודתיים , ערבים ויהודה . 
 נחלת שבעה נושקת למדרחוב ממזרח ורחוב יפו הסואן נמצא בקצהו הצפון מזרחי ומוביל אל העיר העתיקה , מרחק הליכה קצר של כ-750 מטרים . 
 צלם : שאולה הייטנר . מתוך מצונזר פיקיוויקי . 
 "
